id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0490,문화동 천근어린이공원,문화동 천근어린이공원,문화동 천근어린이공원,36.311091,127.402304,문화동 458-14,0
ST0491,산성시장 입구,산성시장 입구,산성시장 입구,36.306379,127.386902,산성동 284-1,0
ST0492,산성동 원대어린이공원,산성동 원대어린이공원,산성동 원대어린이공원,36.305510,127.385061,산성동 118-7,0
ST0493,산성동 한밭가든아파트 입구,산성동 한밭가든아파트 입구,산성동 한밭가든아파트 입구,36.304591,127.384397,산성동 119-1,0
ST0494,산성동 한밭가든아파트(103동),산성동 한밭가든아파트(103동),산성동 한밭가든아파트(103동),36.306554,127.384080,산성동 119-1,0
ST0495,산성네거리 김밥친구 건너편,산성네거리 김밥친구 건너편,산성네거리 김밥친구 건너편,36.302865,127.386362,산성동 산10,0
ST0496,산성네거리 김밥친구,산성네거리 김밥친구,산성네거리 김밥친구,36.303070,127.386083,산성동 125-6,2
ST0497,산성동 멋티어린이공원,산성동 멋티어린이공원,산성동 멋티어린이공원,36.303748,127.384246,산성동 122-14,0
ST0498,산성동 으뜸마을,산성동 으뜸마을,산성동 으뜸마을,36.301882,127.388819,산성동 276-10,0
ST0499,산성동 도림빌라,산성동 도림빌라,산성동 도림빌라,36.301836,127.387322,산성동 274-13,0
ST0500,안영동 제3노외 주차장 공원,안영동 제3노외 주차장 공원,안영동 제3노외 주차장 공원,36.290177,127.379514,안영동 664,0
ST0501,사정동 성산마을110동(김밥친구),사정동 성산마을110동(김밥친구),사정동 성산마을110동(김밥친구),36.295702,127.383293,사정동 487,1
ST0502,사정동 한솔빌라,사정동 한솔빌라,사정동 한솔빌라,36.294339,127.389430,사정동 605,0
ST0503,산성주민복지관,산성주민복지관,산성주민복지관,36.304326,127.383535,산성동 120-4,1
ST0504,문화동 삼성푸른아파트(101동),문화동 삼성푸른아파트(101동),문화동 삼성푸른아파트(101동),36.308759,127.396892,문화동 777,0
ST0505,문화동 주공3단지아파트(302동),문화동 주공3단지아파트(302동),문화동 주공3단지아파트(302동),36.310234,127.399399,문화동 757,0
ST0506,문화동 센트럴파크(105동),문화동 센트럴파크(105동),문화동 센트럴파크(105동),36.316070,127.407346,문화동 284-166,0
ST0507,문화동 훼미리맨션(A동),문화동 훼미리맨션(A동),문화동 훼미리맨션(A동),36.317554,127.406964,문화동 311-60,0
ST0508,문화동 삼익아파트 건너편(3동),문화동 삼익아파트 건너편(3동),문화동 삼익아파트 건너편(3동),36.319427,127.406166,문화동 311-12,0
ST0509,문화동 세이백화점,문화동 세이백화점,문화동 세이백화점,36.321189,127.408707,문화동 1-16,4
ST0511,서대전역 4번출구,서대전역 4번출구,서대전역 4번출구,36.322718,127.411924,대전광역시 중구 오류동 195,0
ST0512,서대전역 5번출구,서대전역 5번출구,서대전역 5번출구,36.322967,127.412130,대전광역시 중구 용두동 155,0
ST0513,서대전역 7번출구,서대전역 7번출구,서대전역 7번출구,36.322234,127.413078,대전광역시 중구 문화동 1-18,0
ST0514,센트럴파크 아파트 3단지(302동)(137),센트럴파크 아파트 3단지(302동)(137),센트럴파크 아파트 3단지(302동)(137),36.318144,127.411850,대전광역시 중구 문화동 1-256,0
ST0515,문화동 하우스토리 2차,문화동 하우스토리 2차,문화동 하우스토리 2차,36.320105,127.414037,문화동 1-31,1
ST0516,문화동 하우스토리 1차,문화동 하우스토리 1차,문화동 하우스토리 1차,36.320166,127.415835,대사동 248-222,1
ST0517,대흥동 성사진관,대흥동 성사진관,대흥동 성사진관,36.319981,127.420017,대흥동 300-4,1
ST0518,충남대학교 의생명융합연구센터,충남대학교 의생명융합연구센터,충남대학교 의생명융합연구센터,36.317411,127.413219,문화동 6,0
ST0519,문화동 센트럴파크 3단지(307동),문화동 센트럴파크 3단지(307동),문화동 센트럴파크 3단지(307동),36.317873,127.413673,문화동 1-3,0
